product_id,title,category,brand,description,price_original,price_discounted,discount_percentage
1,"Essence Mascara Lash Princess","beauty","Essence","Mascara that gives bold, voluminous lashes suitable for daily wear.",799,549,31
2,"Eyeshadow Palette with Mirror","beauty","Glamify","Pigmented eyeshadow palette with multiple colours and a built-in mirror.",1299,899,31
3,"Powder Canister","beauty","PowderCo","Compact powder with smooth finish and long-lasting coverage.",999,699,30
4,"Red Lipstick","beauty","Rouge","Long-lasting red matte lipstick with intense pigmentation.",699,499,29
5,"Red Nail Polish","beauty","NailArt","Fast-drying glossy red nail polish for everyday wear.",399,249,38
6,"Royal Oud Perfume","fragrances","AromaLux","Luxurious oud-based perfume with warm, long-lasting notes.",2499,1899,24
7,"Floral Bliss Eau de Parfum","fragrances","BloomScents","Sweet floral fragrance ideal for daily use.",1999,1499,25
8,"Ocean Mist Cologne","fragrances","WaveEssence","Refreshing aquatic cologne with sea-breeze notes.",1799,1299,28
9,"Classic Musk Perfume","fragrances","Muskora","Bold musk fragrance that lasts throughout the day.",2299,1699,26
10,"Citrus Zest Spray","fragrances","FreshTone","Vibrant citrus fragrance ideal for energetic mornings.",1499,999,33
11,"Modern Fabric Sofa","furniture","HomeComfort","Minimalist 3-seater fabric sofa with comfortable cushioning.",15999,11999,25
12,"Wooden Dining Table Set","furniture","OakCraft","Solid wood 6-seater dining table with polished finish.",20999,16999,19
13,"Ergonomic Office Chair","furniture","ErgoFlex","Adjustable office chair with lumbar support and breathable mesh.",8999,6999,22
14,"Wooden Bed Frame","furniture","SleepWell","King-size wooden bed frame with classic headboard.",25999,19999,23
15,"Minimalist Coffee Table","furniture","UrbanLiving","Engineered wood center table with matte finish.",4999,3499,30
16,"Organic Brown Rice","groceries","NatureGrain","High-quality organic brown rice rich in fibre.",249,199,20
17,"Premium Basmati Rice","groceries","RoyalHarvest","Long-grain aromatic basmati rice perfect for biryani.",299,239,20
18,"Raw Almonds 500g","groceries","NutriBox","Premium raw almonds rich in protein and healthy fats.",699,549,21
19,"Organic Honey","groceries","BeePure","Pure organic honey sourced from forest beehives.",349,279,20
20,"Whole Wheat Flour","groceries","GrainMill","Stone-ground whole wheat flour for soft chapatis.",199,159,20
21,"Extra Virgin Olive Oil","groceries","OlivaPure","Cold-pressed extra virgin olive oil for cooking and salads.",499,399,20
22,"Black Chia Seeds","groceries","NutriSeeds","Healthy chia seeds rich in omega-3 and fibre.",249,189,24
23,"Whole Cashews 250g","groceries","NutriBox","Premium whole cashews packed fresh.",599,449,25
24,"Organic Turmeric Powder","groceries","SpiceRoot","Pure aromatic turmeric powder with strong colour.",149,119,20
25,"Fresh Black Pepper","groceries","SpiceRoot","Aromatic black peppercorns freshly packed.",199,159,20
26,"Organic Cumin Seeds","groceries","SpiceRoot","Aromatic cumin seeds ideal for seasoning.",159,129,19
27,"Green Tea Bags","groceries","TeaLeaf","Premium green tea bags rich in antioxidants.",249,189,24
28,"Roasted Peanuts Salted","groceries","Snackify","Crunchy salted roasted peanuts.",99,79,20
29,"Breakfast Oats","groceries","HealthyBite","Nutritious rolled oats ideal for breakfast.",179,139,22
30,"Sunflower Oil 1L","groceries","PureDrop","Refined sunflower oil for daily cooking.",179,139,22
31,"Coconut Oil Pure","groceries","CocoPure","Cold-pressed coconut oil from fresh coconuts.",199,159,20
32,"Toor Dal","groceries","DalHouse","Premium toor dal packed with protein.",229,179,22
33,"Moong Dal Yellow","groceries","DalHouse","High-quality yellow moong dal.",199,159,20
34,"Chilli Powder","groceries","SpiceRoot","Strong aromatic chilli powder with bright colour.",159,129,19
35,"Garam Masala Mix","groceries","SpiceRoot","Fragrant Indian spice mix for rich flavour.",199,159,20
36,"Stainless Steel Water Bottle","kitchen-accessories","SteelPro","Double-layer stainless steel bottle.",699,499,29
37,"Multi-Purpose Kitchen Scissors","kitchen-accessories","ChefTools","Heavy-duty kitchen scissors.",299,199,33
38,"Wooden Chopping Board","kitchen-accessories","CookMate","Premium antibacterial wooden chopping board.",799,599,25
39,"Non-Stick Frying Pan","kitchen-accessories","PanCraft","Durable non-stick frying pan with even heat distribution.",999,749,25
